product_name,product_name_ar,category,subcategory,age_group,gender,description,description_ar,short_description,short_description_ar,selling_price_usd,compare_at_price_usd,price_varies,price_max_usd,currency,size_variations,color_variations,color_variations_ar,in_stock,stock_qty,is_new,is_featured,tags,status,handle,image_url,image_alt
Plaid 10-Piece Boy Set,طقم ١٠ قطع,Set,10-piece Set,Newborn,Boys,"A complete, ready-to-gift set — beautifully coordinated so you don't have to mix and match. This 10-piece set comes as a coordinated set — great value and an easy gift. Designed for boys. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.",طقم كامل ومنسّق، جاهز كهدية حلوة وما بدّك تجمّع القطع لحالك. هيدا طقم ١٠ قطع منسّق، قيمة حلوة وهدية سهلة. تصميم للصبيان. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.,"A complete, ready-to-gift set — beautifully coordinated so you don't have to mix and match.",طقم كامل ومنسّق، جاهز كهدية حلوة وما بدّك تجمّع القطع لحالك.,81.99,,FALSE,,USD,,,,TRUE,1,TRUE,FALSE,"Set, Newborn, Boys, New Arrival, Gift Set",Active,plaid-10-piece-boy-set,,Plaid 10-Piece Boy Set - Miniyo
Swaddle,قماط,Apparel,Swaddle,Baby,Unisex,"Adorable everyday wear that keeps your little one comfy from morning to nap time. A swaddle designed for babies. Unisex design suits any little one. Choose from Beige, Gray. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.","لبس ناعم ومريح يخلّي صغيرك مرتاح من الصبح لوقت النوم. قماط (كندك) للبيبيهات. تصميم مناسب للبنت والصبي. بتختاري بين بيج, رمادي. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.",Adorable everyday wear that keeps your little one comfy from morning to nap time.,لبس ناعم ومريح يخلّي صغيرك مرتاح من الصبح لوقت النوم.,19.99,,FALSE,,USD,,Beige|Gray,بيج|رمادي,TRUE,4,TRUE,FALSE,"Apparel, Baby, New Arrival",Active,swaddle,,Swaddle - Miniyo
Swaddle,قماط,Apparel,Swaddle,Baby,Girls,"Adorable everyday wear that keeps your little one comfy from morning to nap time. A swaddle designed for babies. Designed for girls. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.",لبس ناعم ومريح يخلّي صغيرك مرتاح من الصبح لوقت النوم. قماط (كندك) للبيبيهات. تصميم للبنات. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.,Adorable everyday wear that keeps your little one comfy from morning to nap time.,لبس ناعم ومريح يخلّي صغيرك مرتاح من الصبح لوقت النوم.,19.99,,FALSE,,USD,,,,TRUE,2,TRUE,FALSE,"Apparel, Baby, Girls, New Arrival",Active,swaddle-2,,Swaddle - Miniyo
Bib,مريول,Accessories,Bib,Baby,Unisex,"The finishing touch every little outfit needs. A bib designed for babies. Unisex design suits any little one. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.",اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك. مريول (صدرية) للبيبيهات. تصميم مناسب للبنت والصبي. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.,The finishing touch every little outfit needs.,اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك.,6.99,,FALSE,,USD,,,,TRUE,4,TRUE,FALSE,"Accessories, Baby, New Arrival",Active,bib,,Bib - Miniyo
Bib,مريول,Accessories,Bib,Baby,Unisex,"The finishing touch every little outfit needs. A bib designed for babies. Unisex design suits any little one. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.",اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك. مريول (صدرية) للبيبيهات. تصميم مناسب للبنت والصبي. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.,The finishing touch every little outfit needs.,اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك.,6.99,,FALSE,,USD,,,,TRUE,4,TRUE,FALSE,"Accessories, Baby, New Arrival",Active,bib-2,,Bib - Miniyo
Bib,مريول,Accessories,Bib,Baby,Unisex,"The finishing touch every little outfit needs. A bib designed for babies. Unisex design suits any little one. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.",اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك. مريول (صدرية) للبيبيهات. تصميم مناسب للبنت والصبي. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.,The finishing touch every little outfit needs.,اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك.,12.99,,FALSE,,USD,,,,TRUE,4,TRUE,FALSE,"Accessories, Baby, New Arrival",Active,bib-3,,Bib - Miniyo
Pacifier Clip,علاقة لهاية,Accessories,Pacifier Clip,Baby,Unisex,"The finishing touch every little outfit needs. A pacifier clip designed for babies. Unisex design suits any little one. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.",اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك. علاقة لهاية للبيبيهات. تصميم مناسب للبنت والصبي. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.,The finishing touch every little outfit needs.,اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك.,8.99,,FALSE,,USD,,,,TRUE,6,TRUE,FALSE,"Accessories, Baby, New Arrival",Active,pacifier-clip,,Pacifier Clip - Miniyo
Pacifier Clip,علاقة لهاية,Accessories,Pacifier Clip,Baby,Unisex,"The finishing touch every little outfit needs. A pacifier clip designed for babies. Unisex design suits any little one. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.",اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك. علاقة لهاية للبيبيهات. تصميم مناسب للبنت والصبي. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.,The finishing touch every little outfit needs.,اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك.,3.99,,FALSE,,USD,,,,TRUE,6,TRUE,FALSE,"Accessories, Baby, New Arrival",Active,pacifier-clip-2,,Pacifier Clip - Miniyo
Hat,طاقية,Accessories,Hat,Baby,Unisex,"The finishing touch every little outfit needs. A hat designed for babies. Unisex design suits any little one. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.",اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك. طاقية للبيبيهات. تصميم مناسب للبنت والصبي. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.,The finishing touch every little outfit needs.,اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك.,3.99,,FALSE,,USD,,,,TRUE,4,TRUE,FALSE,"Accessories, Baby, New Arrival",Active,hat,,Hat - Miniyo
Hat,طاقية,Accessories,Hat,Baby,Unisex,"The finishing touch every little outfit needs. A hat designed for babies. Unisex design suits any little one. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.",اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك. طاقية للبيبيهات. تصميم مناسب للبنت والصبي. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.,The finishing touch every little outfit needs.,اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك.,3.99,,FALSE,,USD,,,,TRUE,4,TRUE,FALSE,"Accessories, Baby, New Arrival",Active,hat-2,,Hat - Miniyo
Hat,طاقية,Accessories,Hat,Baby,Girls,"The finishing touch every little outfit needs. A hat designed for babies. Designed for girls. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.",اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك. طاقية للبيبيهات. تصميم للبنات. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.,The finishing touch every little outfit needs.,اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك.,6.99,,FALSE,,USD,,,,TRUE,4,TRUE,FALSE,"Accessories, Baby, Girls, New Arrival",Active,hat-3,,Hat - Miniyo
Bib,مريول,Accessories,Bib,Baby,Girls,"The finishing touch every little outfit needs. A bib designed for babies. Designed for girls. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.",اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك. مريول (صدرية) للبيبيهات. تصميم للبنات. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.,The finishing touch every little outfit needs.,اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك.,6.99,,FALSE,,USD,,,,TRUE,4,TRUE,FALSE,"Accessories, Baby, Girls, New Arrival",Active,bib-4,,Bib - Miniyo
Pacifier Clip,علاقة لهاية,Accessories,Pacifier Clip,Baby,Unisex,"The finishing touch every little outfit needs. A pacifier clip designed for babies. Unisex design suits any little one. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.",اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك. علاقة لهاية للبيبيهات. تصميم مناسب للبنت والصبي. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.,The finishing touch every little outfit needs.,اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك.,2.99,,FALSE,,USD,,,,TRUE,6,TRUE,FALSE,"Accessories, Baby, New Arrival",Active,pacifier-clip-3,,Pacifier Clip - Miniyo
Knitted Baby Blanket,بطانية مكرّمة,Accessories,Knitted Baby Blanket,Baby,Unisex,"The finishing touch every little outfit needs. A knitted baby blanket designed for babies. Unisex design suits any little one. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.",اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك. بطانية مكرّمة (تريكو) للبيبيهات. تصميم مناسب للبنت والصبي. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.,The finishing touch every little outfit needs.,اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك.,28.99,,FALSE,,USD,,,,TRUE,1,TRUE,FALSE,"Accessories, Baby, New Arrival",Active,knitted-baby-blanket,,Knitted Baby Blanket - Miniyo
Knitted Baby Blanket,بطانية مكرّمة,Accessories,Knitted Baby Blanket,Baby,Unisex,"The finishing touch every little outfit needs. A knitted baby blanket designed for babies. Unisex design suits any little one. Choose from Beige, Ecru. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.","اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك. بطانية مكرّمة (تريكو) للبيبيهات. تصميم مناسب للبنت والصبي. بتختاري بين بيج, إكرو. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.",The finishing touch every little outfit needs.,اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك.,28.99,,FALSE,,USD,,Beige|Ecru,بيج|إكرو,TRUE,2,TRUE,FALSE,"Accessories, Baby, New Arrival",Active,knitted-baby-blanket-2,,Knitted Baby Blanket - Miniyo
Knitted Baby Blanket,بطانية مكرّمة,Accessories,Knitted Baby Blanket,Baby,Unisex,"The finishing touch every little outfit needs. A knitted baby blanket designed for babies. Unisex design suits any little one. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.",اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك. بطانية مكرّمة (تريكو) للبيبيهات. تصميم مناسب للبنت والصبي. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.,The finishing touch every little outfit needs.,اللمسة الأخيرة يلي بتكمّل إطلالة صغيرك.,28.99,,FALSE,,USD,,,,TRUE,1,TRUE,FALSE,"Accessories, Baby, New Arrival",Active,knitted-baby-blanket-3,,Knitted Baby Blanket - Miniyo
Footed Overall,أوفرول برجلين,Apparel,Footed Overall,Baby,Boys,"Adorable everyday wear that keeps your little one comfy from morning to nap time. A footed overall designed for babies. Designed for boys. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.",لبس ناعم ومريح يخلّي صغيرك مرتاح من الصبح لوقت النوم. أوفرول برجلين (تولوم) للبيبيهات. تصميم للصبيان. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.,Adorable everyday wear that keeps your little one comfy from morning to nap time.,لبس ناعم ومريح يخلّي صغيرك مرتاح من الصبح لوقت النوم.,17.99,,FALSE,,USD,,,,TRUE,4,TRUE,FALSE,"Apparel, Baby, Boys, New Arrival",Active,footed-overall-2,,Footed Overall - Miniyo
2-piece Bodysuit,أساسيات,Basics,2-piece Bodysuit,Baby,Unisex,"Wardrobe essentials you'll reach for again and again. This 2-piece bodysuit comes as a coordinated set — great value and an easy gift. Unisex design suits any little one. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.",قطع أساسية رح تلبّسها صغيرك كل يوم. أساسيات للبيبيهات. تصميم مناسب للبنت والصبي. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.,Wardrobe essentials you'll reach for again and again.,قطع أساسية رح تلبّسها صغيرك كل يوم.,21.99,,FALSE,,USD,,,,TRUE,4,TRUE,FALSE,"Basics, Baby, New Arrival",Active,2-piece-bodysuit,,2-piece Bodysuit - Miniyo
2-piece Pants,أساسيات,Basics,2-piece Pants,Baby,Girls,"Wardrobe essentials you'll reach for again and again. This 2-piece pants comes as a coordinated set — great value and an easy gift. Designed for girls. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.",قطع أساسية رح تلبّسها صغيرك كل يوم. أساسيات للبيبيهات. تصميم للبنات. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.,Wardrobe essentials you'll reach for again and again.,قطع أساسية رح تلبّسها صغيرك كل يوم.,18.99,,FALSE,,USD,,,,TRUE,3,TRUE,FALSE,"Basics, Baby, Girls, New Arrival",Active,2-piece-pants,,2-piece Pants - Miniyo
2-piece Bodysuit,أساسيات,Basics,2-piece Bodysuit,Baby,Girls,"Wardrobe essentials you'll reach for again and again. This 2-piece bodysuit comes as a coordinated set — great value and an easy gift. Designed for girls. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.",قطع أساسية رح تلبّسها صغيرك كل يوم. أساسيات للبيبيهات. تصميم للبنات. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.,Wardrobe essentials you'll reach for again and again.,قطع أساسية رح تلبّسها صغيرك كل يوم.,22.99,,FALSE,,USD,,,,TRUE,3,TRUE,FALSE,"Basics, Baby, Girls, New Arrival",Active,2-piece-bodysuit-2,,2-piece Bodysuit - Miniyo
Footed Overall,أوفرول برجلين,Apparel,Footed Overall,Baby,Unisex,"Adorable everyday wear that keeps your little one comfy from morning to nap time. A footed overall designed for babies. Unisex design suits any little one. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.",لبس ناعم ومريح يخلّي صغيرك مرتاح من الصبح لوقت النوم. أوفرول برجلين (تولوم) للبيبيهات. تصميم مناسب للبنت والصبي. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.,Adorable everyday wear that keeps your little one comfy from morning to nap time.,لبس ناعم ومريح يخلّي صغيرك مرتاح من الصبح لوقت النوم.,23.99,,FALSE,,USD,,,,TRUE,4,TRUE,FALSE,"Apparel, Baby, New Arrival",Active,footed-overall-3,,Footed Overall - Miniyo
5-piece Set,طقم ٥ قطع,Set,5-piece Set,Baby,Unisex,"A complete, ready-to-gift set — beautifully coordinated so you don't have to mix and match. This 5-piece set comes as a coordinated set — great value and an easy gift. Unisex design suits any little one. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.",طقم كامل ومنسّق، جاهز كهدية حلوة وما بدّك تجمّع القطع لحالك. هيدا طقم ٥ قطع منسّق، قيمة حلوة وهدية سهلة. تصميم مناسب للبنت والصبي. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.,"A complete, ready-to-gift set — beautifully coordinated so you don't have to mix and match.",طقم كامل ومنسّق، جاهز كهدية حلوة وما بدّك تجمّع القطع لحالك.,38.99,,FALSE,,USD,,,,TRUE,4,TRUE,FALSE,"Set, Baby, New Arrival, Gift Set",Active,5-piece-set,,5-piece Set - Miniyo
